region,timezone
Москва,3.0
Омская область,7.0
Санкт-Петербург,3.0
Тульская область,3.0
Самарская область,3.0
Ханты-Мансийский АО,6.0
Волгоградская область,3.0
Свердловская область,6.0
Амурская область,10.0
Московская область,3.0
Краснодарский край,3.0
Тверская область,3.0
Рязанская область,3.0
Липецкая область,3.0
Кемеровская область,7.0
Северная Осетия,3.0
Нижегородская область,3.0
Томская область,7.0
Челябинская область,6.0
Воронежская область,3.0
Ростовская область,3.0
Татарстан,3.0
Республика Алтай,7.0
Курская область,3.0
Пермский край,6.0
Псковская область,3.0
Алтайский край,7.0
Тамбовская область,3.0
Ставропольский край,3.0
Ленинградская область,3.0
Белгородская область,3.0
Смоленская область,3.0
Мурманская область,3.0
Калужская область,3.0
Удмуртия,3.0
Бурятия,9.0
Иркутская область,3.0
Пензенская область,3.0
Новосибирская область,7.0
Камчатский край,12.0
Калининградская область,3.0
Владимирская область,3.0
Башкортостан,6.0
Хабаровский край,11.0
Курганская область,6.0
Новгородская область,3.0
Ивановская область,3.0
Оренбургская область,6.0
Вологодская область,3.0
Тюменская область,6.0
Ярославская область,3.0
Архангельская область,3.0
Саратовская область,3.0
Марий Эл,3.0
Крым,3.0
Красноярский край,8.0
Астраханская область,3.0
Мордовия,3.0
Чувашия,3.0
Костромская область,3.0
Ульяновская область,3.0
Еврейская АО,10.0
Коми,3.0
Дагестан,3.0
Брянская область,3.0
Кировская область,3.0
Забайкальский край,10.0
Орловская область,3.0
Чеченская республика,3.0
Карелия,3.0
Адыгея,3.0
Саха (Якутия),10.0
Приморский край,11.0
Кабардино-Балкария,3.0
Ямало-Ненецкий АО,6.0
Хакасия,8.0
Магаданская область,12.0
Калмыкия,3.0
Карачаево-Черкесия,3.0
Ингушетия,3.0
Сахалинская область,11.0
Тыва,8.0
Ненецкий АО,3.0
Чукотский АО,12.0
